id,intakedate,intakereason,istransfer,sheltercode,identichipnumber,animalname,breedname,basecolour,speciesname,animalage,sexname,location,movementdate,movementtype,istrial,returndate,returnedreason,deceaseddate,deceasedreason,diedoffshelter,puttosleep,isdoa
15801,28-11-2009 00:00,Moving,0,C09115463,0A115D7358,Jadzia,Domestic Short Hair,Tortie,Cat,9 years 2 months.,Female,Adoptable Cat Glass Colony,13-05-2017 00:00,Adoption,0,,Stray,,Died in care,0,0,0
15932,08-12-2009 00:00,Moving,0,D09125594,0A11675477,Gonzo,German Shepherd Dog/Mix,Tan,Dog,9 years 1 month.,Male,Adoptable Dogs,24-04-2017 00:00,Adoption,0,,Stray,,Died in care,0,0,0
28859,10-08-2012 00:00,Abandoned,0,D12082309,0A13253C7B,Maggie,Shep Mix/Siberian Husky,Various,Dog,6 years 8 months.,Female,Adoptable Dogs,15-04-2017 00:00,Adoption,0,,Stray,,Died in care,0,0,0
30812,11-01-2013 00:00,Abandoned,0,C1301091,0A13403D4D,Pretty Girl,Domestic Short Hair,Dilute tortoiseshell,Cat,8 years 11 months.,Female,Stray Cats,18-04-2017 00:00,Foster,0,29-05-2018 00:00,Stray,,Died in care,0,0,0
30812,11-01-2013 00:00,Abandoned,0,C1301091,0A13403D4D,Pretty Girl,Domestic Short Hair,Dilute tortoiseshell,Cat,8 years 11 months.,Female,Stray Cats,29-05-2018 00:00,Adoption,0,,Stray,,Died in care,0,0,0
31469,26-03-2013 00:00,Incompatible with owner lifestyle,0,D1303720,9.8102E+14,Bonnie,Basenji/Mix,Brown and White,Dog,5 years 11 months.,Female,Stray Dogs Beta,30-03-2013 00:00,Adoption,0,08-05-2017 00:00,Incompatible with owner lifestyle,,Died in care,0,0,0
31469,26-03-2013 00:00,Incompatible with owner lifestyle,0,D1303720,9.8102E+14,Bonnie,Basenji/Mix,Brown and White,Dog,5 years 11 months.,Female,Stray Dogs Beta,09-05-2017 00:00,Adoption,0,,Stray,,Died in care,0,0,0
40705,19-06-2015 00:00,Abandoned,0,R15061738,,Candy,American Sable/American,Brown,House Rabbit,4 years 6 months.,Female,Lobby,12-04-2017 00:00,Transfer,0,,Stray,,Died in care,0,0,0
40706,19-06-2015 00:00,Abandoned,0,R15061739,,Charlotte,American Sable/American,Brown,House Rabbit,4 years 6 months.,Female,Lobby,12-04-2017 00:00,Transfer,0,,Stray,,Died in care,0,0,0
46238,09-10-2016 00:00,Abandoned,0,D16103207,9.8102E+14,Tennessee,Heeler/Mix,Brown and Black,Dog,3 years 2 months.,Male,Special Care Dogs,26-11-2016 00:00,Foster,0,23-07-2017 00:00,Stray,,Died in care,0,0,0
